Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2022,3878,1,Petrol,HR-98,Manual,Hatchback,514000,Maruti,S Presso
2018,32041,1,Petrol,TN-22,Manual,Sedan,674000,Hyundai,Xcent
2021,96339,1,Diesel,TS-08,Automatic,SUV,1952000,Tata,Safari
2019,51718,1,Diesel,WB-24,Manual,SUV,690000,Maruti,Vitara Brezza
2021,19811,1,Petrol,HR-51,Manual,Hatchback,526000,Tata,Tiago
2017,70129,1,Petrol,MH-14,Manual,Hatchback,552000,Maruti,Swift
2012,103781,1,Petrol,Unknown,Manual,Hatchback,278000,Hyundai,I20
2021,31945,2,Petrol,UP-32,Automatic,Hatchback,518000,Renault,Kwid
2015,39950,1,Petrol,HR-26,Manual,Hatchback,443000,Hyundai,Grand I10
2018,56697,1,Diesel,KA-04,Automatic,Hatchback,710350,Maruti,Swift
2018,38184,2,CNG,PB-10,Automatic,Hatchback,548000,Maruti,Ignis
2019,30347,1,Petrol,MH-48,Automatic,Hatchback,481000,Maruti,S Presso
2012,42375,2,Petrol,GJ-05,Manual,Hatchback,312000,Honda,Brio
2019,47231,1,Petrol,GJ-27,Manual,Hatchback,613000,Hyundai,Elite I20
2014,111577,1,Petrol,Unknown,Manual,Sedan,503000,Honda,City
2018,60042,1,Petrol,MH-47,Manual,Hatchback,614000,Maruti,Baleno
2017,93518,1,Diesel,KA-01,Manual,SUV,693000,Honda,Wr-V
2019,33245,1,Petrol,MH-01,Manual,Sedan,439000,Honda,Amaze
2016,43717,1,Petrol,GJ-01,Manual,Hatchback,294000,Maruti,Alto 800
2021,1863,1,Petrol,PB-91,Automatic,Hatchback,716000,Maruti,Celerio
2019,50078,1,Petrol,TN-19,Manual,SUV,836000,Ford,Ecosport
2018,63856,1,Petrol,UP-16,Manual,Sedan,794000,Maruti,Ciaz
2018,72337,1,Petrol,KA-19,Manual,Hatchback,324000,Renault,Kwid
2021,14567,1,Petrol,WB-02,Manual,Hatchback,678000,Maruti,Swift
2018,36778,1,CNG,DL-8C,Manual,Hatchback,587000,Hyundai,Elite I20
2015,50419,1,Petrol,DL-12,Manual,Hatchback,474000,Hyundai,Elite I20
2010,45257,1,Diesel,HR-51,Manual,Sedan,608000,Honda,City
2016,40368,1,Petrol,HR-26,Manual,Hatchback,477000,Maruti,Swift
2016,37488,1,Petrol,CH-01,Manual,Hatchback,205000,Datsun,Redi Go
2019,43253,1,Petrol,KA-53,Manual,Hatchback,574000,Tata,Tiago Nrg
2022,6587,1,Petrol,KA-02,Manual,Hatchback,572000,Renault,Kwid
2019,37566,2,Petrol,TS-13,Manual,Sedan,635000,Honda,Amaze
2011,33952,2,Petrol,KL-22,Manual,Hatchback,169000,Hyundai,Santro Xing
2018,31679,1,Petrol,KL-09,Manual,SUV,611000,Ford,Freestyle
2018,98221,2,CNG,HR-10,Manual,Hatchback,558000,Maruti,Swift
2016,45836,1,Petrol,UP-16,Manual,Hatchback,520000,Maruti,Baleno
2018,75883,1,CNG,MH-05,Manual,Sedan,483000,Honda,Amaze
2021,27480,1,Petrol,GJ-01,Manual,Sedan,707000,Maruti,Dzire
2017,61250,1,Diesel,TS-07,Manual,Sedan,796000,Maruti,Ciaz
2021,16516,1,CNG,DL-11,Manual,Hatchback,483000,Maruti,Alto
2019,57656,1,CNG,MH-46,Manual,Hatchback,482000,Hyundai,New Santro
2017,33669,2,Petrol,MH-12,Automatic,Hatchback,675000,Maruti,Baleno
2018,124206,2,Petrol,Unknown,Manual,Hatchback,373000,Maruti,Celerio
2018,36722,1,Petrol,MH-04,Manual,Hatchback,324000,Maruti,Alto 800
2010,87722,1,Diesel,KA-05,Manual,Sedan,448000,Honda,City
2015,62663,2,Petrol,UP-16,Automatic,Hatchback,377000,Maruti,Celerio
2017,38022,1,Petrol,MH-04,Manual,SUV,581000,Honda,Wr-V
2019,28956,1,Petrol,UP-14,Manual,Hatchback,572000,Maruti,Swift
2015,119106,2,Petrol,Unknown,Manual,Hatchback,490000,Maruti,Swift
2017,71686,1,Petrol,HR-16,Manual,Hatchback,417000,Hyundai,Grand I10
2017,45785,1,Petrol,DL-9C,Manual,Hatchback,347000,Maruti,Alto K10
2019,94389,1,Diesel,GJ-02,Manual,Lux SUV,2192000,Ford,Endeavour
2017,30052,1,Petrol,DL-9C,Manual,Sedan,570000,Maruti,Ciaz
2019,99520,1,Petrol,HR-26,Automatic,Sedan,326000,Honda,Amaze
2013,69372,1,Petrol,MH-48,Automatic,Sedan,708000,Maruti,Swift Dzire
2014,21799,1,Petrol,MH-04,Manual,Hatchback,351000,Maruti,Wagon R 1.0
2014,69045,1,Petrol,UP-14,Manual,Hatchback,401000,Maruti,Swift
2020,26533,1,CNG,RJ-02,Manual,Hatchback,406000,Maruti,Alto
2020,44937,1,CNG,HR-51,Manual,Hatchback,628000,Hyundai,Grand I10 Nios
2017,75370,1,Petrol,TN-22,Manual,Hatchback,468000,Hyundai,Grand I10
2017,4756,1,Petrol,MH-47,Manual,Sedan,940000,Honda,City
2012,39085,1,Petrol,DL-12,Manual,Hatchback,208000,Maruti,Alto K10
2018,32891,1,Petrol,MH-12,Automatic,Hatchback,595000,Maruti,Celerio X
2017,35775,1,Petrol,GJ-01,Manual,Hatchback,515000,Hyundai,Grand I10
2021,37618,1,Petrol,BR-01,Automatic,SUV,1010000,Toyota,Urban Cruiser
2015,67486,3,Petrol,MH-02,Automatic,SUV,505000,Ford,Ecosport
2018,15290,2,Petrol,HR-51,Manual,Hatchback,469000,Hyundai,Grand I10
2017,97313,2,Petrol,DL-14,Manual,Sedan,401000,Honda,Amaze
2018,105290,1,Diesel,TS-07,Manual,Lux SUV,1222000,Mahindra,Xuv500
2014,65354,1,Petrol,TN-02,Manual,Hatchback,523000,Hyundai,Elite I20
2017,28991,1,Petrol,MH-12,Manual,Sedan,714000,Hyundai,Verna
2019,72139,1,CNG,DL-8C,Manual,SUV,772000,Honda,Wr-V
2022,8502,1,CNG,MH-12,Manual,Hatchback,528000,Maruti,Alto
2018,48617,1,Petrol,KL-27,Manual,Hatchback,365000,Maruti,Alto K10
2015,106877,1,Petrol,Unknown,Manual,Sedan,224000,Maruti,Swift Dzire
2019,50050,1,Petrol,UP-78,Automatic,SUV,897000,Hyundai,Venue
2017,69430,1,Petrol,TN-14,Manual,SUV,707000,Tata,Nexon
2016,68815,1,Petrol,MH-01,Automatic,Hatchback,584000,Maruti,Baleno
2016,64759,1,Petrol,MH-12,Manual,Hatchback,545000,Maruti,Baleno
2016,40417,1,Petrol,DL-9C,Automatic,Hatchback,401000,Maruti,Wagon R 1.0
2018,68101,1,Petrol,TS-07,Manual,Hatchback,691000,Maruti,Baleno
2019,64853,2,Petrol,KL-45,Manual,Sedan,338000,Honda,City
2017,51642,1,Diesel,UP-14,Manual,SUV,507000,Mahindra,Kuv 100 Nxt
2018,24502,2,Petrol,WB-90,Manual,Hatchback,293000,Maruti,Alto K10
2016,60350,1,Petrol,TS-07,Manual,Hatchback,629000,Hyundai,Elite I20
2014,71000,2,Petrol,PB-10,Manual,Hatchback,234000,Maruti,Alto 800
2021,66161,2,Petrol,KA-01,Manual,Sedan,662000,Toyota,Yaris
2015,64154,1,Petrol,UP-32,Manual,Hatchback,325000,Maruti,Wagon R 1.0
2020,21270,1,Diesel,GJ-01,Automatic,SUV,1064000,Mahindra,Xuv 3Oo
2010,90382,2,Petrol,AP-23,Manual,Hatchback,205000,Hyundai,Santro Xing
2018,49423,1,Petrol,KA-02,Manual,Sedan,810000,Honda,City
2016,47227,1,Petrol,KL-41,Manual,Hatchback,588000,Hyundai,Elite I20
2021,24236,1,Petrol,PB-70,Manual,SUV,677000,Renault,Triber
2018,86933,2,Petrol,UP-14,Manual,Lux SUV,1221000,Hyundai,Tucson New
2017,58157,1,Diesel,TN-09,Manual,SUV,817000,Mahindra,Tuv300
2020,35636,1,Petrol,MH-01,Automatic,Hatchback,809000,Toyota,Glanza
2017,45639,2,Petrol,MH-03,Manual,Sedan,428000,Maruti,Ciaz
2016,53355,1,Petrol,DL-1C,Manual,Sedan,678000,Honda,City
2017,88993,1,Petrol,MP-09,Automatic,Hatchback,619000,Maruti,Baleno
2022,2075,1,CNG,KL-01,Manual,SUV,552000,Maruti,Eeco
2014,59943,1,Petrol,DL-1C,Manual,SUV,446000,Renault,Duster
2020,20743,1,Petrol,KA-05,Manual,SUV,942000,Renault,Duster
2014,33869,1,Diesel,KA-03,Manual,Hatchback,507000,Maruti,Swift
2016,71731,2,Petrol,HR-51,Manual,Sedan,627000,Honda,City
2019,25955,2,Petrol,WB-20,Automatic,Hatchback,565000,Hyundai,Grand I10 Nios
2018,47942,1,Petrol,DL-10,Manual,SUV,844000,Ford,Ecosport
2014,63838,2,Petrol,UP-32,Manual,Hatchback,281000,Maruti,Wagon R 1.0
2012,50854,2,Petrol,DL-3C,Manual,Sedan,294000,Maruti,Swift Dzire
2020,18534,1,Petrol,KL-36,Manual,Hatchback,368000,Maruti,Alto
2016,118327,2,Diesel,MH-14,Manual,Hatchback,613000,Hyundai,Elite I20
2020,22389,1,Petrol,UP-78,Manual,SUV,751000,Toyota,Urban Cruiser
2018,105759,2,Diesel,KA-09,Manual,Lux SUV,1196000,Mahindra,Xuv500
2015,30790,1,Petrol,MH-12,Manual,Hatchback,253000,Maruti,Alto 800
2010,68137,1,Petrol,TN-07,Manual,Sedan,737000,Honda,City
2012,35125,2,Petrol,TN-07,Manual,Hatchback,308000,Hyundai,I10
2018,67281,2,Petrol,GJ-01,Manual,Hatchback,690000,Hyundai,Elite I20
2018,80229,1,CNG,MH-14,Manual,Hatchback,436000,Hyundai,New Santro
2018,22533,1,Petrol,TS-10,Manual,Hatchback,505000,Hyundai,New Santro
2019,27153,2,Petrol,RJ-36,Manual,Hatchback,486000,Hyundai,New Santro
2021,66065,1,Petrol,DL-8C,Manual,SUV,750000,Nissan,Magnite
2018,53612,2,Petrol,TN-02,Automatic,Sedan,591000,Honda,City
2017,23376,1,Petrol,MH-05,Manual,Hatchback,535000,Hyundai,Grand I10
2021,22542,1,Petrol,PB-91,Manual,SUV,1141000,Kia,Sonet
2021,25239,1,Diesel,TN-14,Automatic,SUV,1810000,Tata,Safari
2020,37077,1,Petrol,KA-04,Manual,SUV,633000,Ford,Freestyle
2017,54791,1,Petrol,TS-07,Manual,Hatchback,331000,Maruti,Alto 800
2012,100274,1,Diesel,BR-01,Manual,SUV,416000,Maruti,Ertiga
2016,74317,1,Petrol,HR-35,Manual,Hatchback,483000,Hyundai,Elite I20
2017,70660,1,Petrol,GJ-01,Automatic,Sedan,776000,Maruti,Ciaz
2019,57675,1,CNG,DL-8C,Manual,SUV,796000,Ford,Ecosport
2019,32033,1,Petrol,DL-9C,Automatic,Hatchback,593000,Hyundai,Grand I10
2010,99873,1,Petrol,HR-26,Manual,Hatchback,162000,Hyundai,I10
2018,10409,1,Petrol,MH-02,Automatic,Hatchback,486000,Maruti,Wagon R 1.0
2016,31130,1,Petrol,PB-08,Manual,Hatchback,461000,Honda,Jazz
2020,96537,2,Petrol,GJ-18,Manual,SUV,906000,Kia,Seltos
2013,92379,1,Diesel,RJ-14,Manual,SUV,362000,Renault,Duster
2014,26337,2,Petrol,UP-37,Manual,Sedan,621000,Maruti,Swift Dzire
2021,25725,1,Petrol,GJ-38,Automatic,SUV,858000,Nissan,Magnite
2019,15100,1,Petrol,HR-03,Manual,Hatchback,606000,Hyundai,Grand I10
2021,27546,1,Petrol,MP-09,Automatic,Hatchback,692000,Hyundai,Grand I10 Nios
2018,32330,1,Petrol,HR-52,Automatic,Hatchback,449000,Maruti,Wagon R 1.0
2019,18152,1,Petrol,GJ-06,Manual,Sedan,689000,Honda,Amaze
2017,71321,2,Petrol,HR-26,Manual,Sedan,701000,Maruti,Dzire
2012,80172,2,Petrol,AP-29,Manual,Hatchback,197300,Maruti,Alto K10
2018,44602,1,Petrol,TS-07,Manual,Hatchback,654000,Maruti,Swift
2018,39299,1,Petrol,MH-12,Automatic,Sedan,901000,Toyota,Yaris
2012,52092,2,Petrol,KA-04,Manual,Hatchback,332000,Honda,Brio
2018,19158,1,Petrol,TN-59,Manual,Sedan,654000,Volkswagen,Ameo
2021,20044,1,Petrol,KA-04,Manual,Hatchback,675000,Renault,Kiger
2014,44752,1,Petrol,MH-03,Manual,Hatchback,353000,Maruti,Wagon R 1.0
2013,114653,1,Petrol,Unknown,Manual,Sedan,190000,Honda,Accord
2018,30732,1,Petrol,KA-04,Manual,Hatchback,262000,Datsun,Redi Go
2012,14799,1,Petrol,MH-01,Manual,Sedan,468000,Maruti,Swift Dzire
2018,43525,1,Petrol,KA-05,Manual,Sedan,674000,Maruti,Dzire
2017,92995,2,Petrol,HR-36,Manual,Hatchback,442000,Hyundai,Grand I10
2021,14261,1,Petrol,TN-14,Manual,Hatchback,763000,Hyundai,New I20
2013,9415,1,Petrol,GJ-32,Manual,Sedan,723000,Honda,Amaze
2018,17547,1,Petrol,MH-01,Automatic,Hatchback,488000,Maruti,Celerio
2017,49344,1,Petrol,GJ-08,Automatic,Hatchback,471000,Maruti,Celerio
2019,18690,1,Petrol,TS-12,Manual,Hatchback,751000,Hyundai,Elite I20
2018,83234,1,Diesel,WB-26,Manual,SUV,526000,Tata,Nexon
2021,17752,1,Petrol,TN-06,Manual,Sedan,761000,Maruti,Ciaz
2021,97084,1,Petrol,KA-41,Manual,Sedan,422000,Honda,Amaze
2015,40791,2,Petrol,MH-01,Manual,Sedan,444000,Hyundai,Xcent
2020,35197,1,Diesel,MH-03,Manual,Hatchback,787000,Tata,Altroz
2018,73081,1,Diesel,UP-65,Manual,SUV,635000,Maruti,Vitara Brezza
2018,58165,2,Petrol,MP-04,Manual,Hatchback,383000,Maruti,Wagon R 1.0
2011,22866,1,Petrol,DL-8C,Manual,Hatchback,220000,Maruti,Wagon R 1.0
2017,54410,1,Petrol,DL-9C,Manual,Hatchback,496000,Maruti,Baleno
2017,14524,1,Petrol,KA-53,Manual,Hatchback,463000,Maruti,Wagon R 1.0
2015,66995,2,Petrol,MH-14,Manual,Hatchback,283000,Renault,Kwid
2017,75537,1,CNG,DL-8C,Manual,Hatchback,374250,Maruti,Wagon R 1.0
2017,39198,1,Petrol,TS-08,Automatic,Sedan,973000,Maruti,Dzire
2016,74270,2,Diesel,MH-12,Manual,Hatchback,545000,Maruti,Baleno
2017,36573,3,Petrol,TN-14,Manual,Hatchback,610000,Maruti,Baleno
2010,64103,2,Petrol,KA-02,Manual,Hatchback,221000,Maruti,A Star
2018,26158,1,Petrol,PB-91,Manual,Hatchback,343000,Maruti,Alto 800
2019,60299,1,Petrol,GJ-03,Manual,Hatchback,380000,Maruti,Alto
2017,32343,1,Petrol,MH-14,Automatic,Hatchback,603000,Maruti,Baleno
2015,123077,2,Diesel,GJ-01,Manual,Sedan,569350,Maruti,Ciaz
2017,29201,2,Petrol,MH-02,Manual,Hatchback,561000,Hyundai,Elite I20
2017,71105,1,Petrol,MH-48,Automatic,Sedan,627000,Honda,City
2012,73399,1,Petrol,AP-23,Manual,Sedan,419000,Maruti,Swift Dzire
2013,41312,1,Petrol,AP-10,Manual,Sedan,451000,Maruti,Swift Dzire
2017,34102,1,Petrol,MH-03,Manual,Hatchback,624000,Maruti,Baleno
2011,69532,1,Petrol,KA-05,Automatic,Hatchback,343000,Hyundai,I10
2020,41465,2,Diesel,HR-13,Manual,SUV,726000,Maruti,Vitara Brezza
2014,75638,2,Petrol,TS-13,Manual,Hatchback,378000,Maruti,Ritz
2019,51377,1,Petrol,TS-08,Automatic,Sedan,672000,Maruti,Dzire
2014,35872,1,Petrol,WB-02,Manual,Sedan,336000,Maruti,Swift Dzire
2015,74079,2,Petrol,GJ-06,Manual,Hatchback,428000,Honda,Jazz
2011,79275,1,Petrol,DL-8C,Manual,Hatchback,202000,Maruti,Wagon R 1.0
2018,27721,1,Petrol,DL-8C,Manual,Hatchback,497000,Hyundai,Grand I10
2018,21347,1,Petrol,DL-5C,Manual,Hatchback,559000,Maruti,Swift
2017,59811,1,Petrol,MH-05,Automatic,Hatchback,537000,Maruti,Ignis
2018,89172,1,Petrol,GJ-05,Automatic,Hatchback,449000,Nissan,Micra
2019,31867,1,Petrol,DL-8C,Manual,Hatchback,680000,Maruti,Baleno
2012,39845,1,Petrol,MH-02,Manual,Hatchback,320000,Hyundai,I20
2015,67182,2,Petrol,MH-12,Automatic,Hatchback,348000,Maruti,Alto K10
2018,69690,1,Diesel,MH-47,Manual,Lux SUV,1187000,Mahindra,Xuv500
2019,66740,1,Petrol,GJ-05,Automatic,Hatchback,401000,Renault,Kwid
2014,70683,2,Petrol,UP-32,Manual,Hatchback,286000,Honda,Brio
2019,39280,2,Petrol,GJ-05,Manual,Hatchback,572000,Maruti,Swift
2019,41265,2,Diesel,GJ-03,Manual,SUV,914000,Maruti,Vitara Brezza
2017,58942,1,Petrol,MH-12,Automatic,Sedan,802000,Hyundai,Verna
2014,36766,2,Petrol,KA-51,Manual,Hatchback,525000,Hyundai,I20
2016,33476,1,Petrol,MH-12,Manual,Hatchback,327000,Hyundai,Eon
2015,99951,2,Petrol,DL-1C,Manual,SUV,690000,Hyundai,Creta
2021,12060,1,Petrol,TN-09,Manual,Hatchback,667000,Tata,Tiago
2019,30214,1,Petrol,TN-58,Manual,Hatchback,477000,Tata,Tiago
2016,46706,1,Petrol,DL-2C,Manual,SUV,692000,Ford,Ecosport
2014,53706,1,Petrol,MH-15,Manual,Hatchback,327000,Maruti,Wagon R 1.0
2014,59973,1,Petrol,TS-07,Manual,Hatchback,440000,Hyundai,Grand I10
2020,61703,1,Petrol,PB-07,Manual,Hatchback,333000,Maruti,Alto
2015,43724,1,Petrol,KA-19,Manual,Hatchback,299000,Hyundai,Eon
2017,26371,1,Petrol,HR-30,Manual,Hatchback,529000,Maruti,Baleno
2017,114451,1,Diesel,KA-13,Manual,Sedan,800000,Hyundai,Verna
2020,81389,1,CNG,MH-12,Manual,Hatchback,497000,Maruti,Celerio
2017,33921,1,Petrol,TN-12,Manual,SUV,722000,Ford,Ecosport
2020,47559,2,Diesel,UP-32,Manual,SUV,762000,Mahindra,Bolero
2010,54671,1,Petrol,KA-03,Manual,Hatchback,233000,Maruti,Alto K10
2010,50831,3,Petrol,KA-51,Manual,Hatchback,241000,Hyundai,I10
2020,50393,1,CNG,MH-43,Manual,Hatchback,507000,Maruti,Celerio
2021,16860,2,Petrol,TN-12,Manual,SUV,1007000,Hyundai,Venue
2020,69384,2,Diesel,WB-20,Automatic,Sedan,676000,Maruti,Dzire
2016,52851,1,Diesel,GJ-16,Manual,SUV,573000,Renault,Duster
2015,61979,1,Petrol,TS-09,Manual,Hatchback,277000,Maruti,Alto 800
2011,72666,1,Petrol,MH-12,Manual,Hatchback,237000,Hyundai,I10
2020,52819,1,Petrol,BR-01,Automatic,Hatchback,611000,Maruti,Ignis
2019,19797,1,Petrol,DL-8C,Manual,Hatchback,344000,Renault,Kwid
2018,39198,2,Petrol,MP-04,Automatic,Hatchback,538000,Hyundai,New Santro
2016,16856,1,Petrol,HR-26,Manual,Sedan,702000,Honda,City
2014,73506,1,Petrol,DL-8C,Manual,Hatchback,269800,Toyota,Etios Liva
2015,51252,1,Petrol,TN-12,Automatic,Sedan,716000,Maruti,Ciaz
2019,20494,1,Petrol,CH-01,Manual,Hatchback,324000,Maruti,Alto
2018,14290,1,Petrol,MH-14,Automatic,Sedan,1368000,Maruti,Ciaz
2017,50359,1,Petrol,KA-04,Automatic,Hatchback,696000,Honda,Jazz
2018,9889,1,Petrol,DL-12,Manual,Hatchback,350000,Renault,Kwid
2014,40670,1,CNG,MH-12,Manual,Hatchback,376000,Maruti,Wagon R 1.0
2022,5303,1,Petrol,MH-12,Manual,SUV,719000,Renault,Triber
2016,63509,1,Petrol,MH-34,Automatic,Hatchback,413000,Maruti,Celerio
2021,17449,2,Diesel,KA-11,Manual,Hatchback,856000,Hyundai,New I20
2019,43476,2,Petrol,RJ-02,Manual,Hatchback,588000,Maruti,Baleno
2021,11799,1,Petrol,KL-22,Manual,Sedan,799000,Honda,Amaze
2014,52914,1,Petrol,TN-22,Manual,Hatchback,364000,Maruti,Wagon R 1.0
2011,73284,2,Petrol,MP-09,Manual,Hatchback,218000,Hyundai,Santro Xing
2019,55115,2,Petrol,MH-40,Manual,Hatchback,535000,Hyundai,Grand I10 Nios
2016,40547,1,Petrol,KA-05,Automatic,Hatchback,452000,Maruti,Celerio
2013,50244,1,Petrol,MH-01,Manual,Hatchback,298000,Maruti,Wagon R 1.0
2018,46656,1,Petrol,GJ-05,Manual,Hatchback,352000,Renault,Kwid
2014,36222,2,Petrol,MH-03,Manual,Sedan,557000,Honda,City
2012,66201,2,Petrol,MH-12,Manual,Hatchback,279000,Honda,Brio
2019,66427,1,Petrol,TS-07,Manual,Sedan,974000,Hyundai,Verna
2021,77064,1,CNG,HR-36,Manual,Hatchback,594000,Maruti,New Wagon-R
2018,111035,1,Petrol,Unknown,Automatic,Sedan,512000,Maruti,Dzire
2019,21167,1,Petrol,MH-49,Automatic,Hatchback,651000,Maruti,Ignis
2018,81680,1,Petrol,TN-14,Manual,Hatchback,399000,Nissan,Micra Active
2018,34578,1,Petrol,RJ-45,Manual,Sedan,1111000,Honda,Amaze
2018,31428,2,Petrol,CH-01,Automatic,Sedan,807000,Toyota,Yaris
2021,20357,2,Petrol,MH-14,Manual,SUV,781000,Hyundai,Venue
2019,18111,1,Petrol,GJ-06,Manual,Hatchback,654000,Hyundai,Grand I10 Nios
2021,11041,1,Petrol,MP-04,Manual,Hatchback,529000,Hyundai,New Santro
2020,74490,1,Petrol,UP-32,Manual,Sedan,602000,Maruti,Dzire
2020,29284,1,Petrol,GJ-01,Automatic,Hatchback,713000,Hyundai,Grand I10 Nios
2019,81694,1,CNG,HR-10,Manual,Hatchback,537000,Maruti,Swift
2018,72038,3,Diesel,MP-09,Manual,Sedan,576000,Maruti,Dzire
2013,57512,1,Petrol,MH-02,Manual,Sedan,467000,Maruti,Swift Dzire
2019,37732,1,Petrol,MP-09,Manual,Hatchback,601000,Maruti,Swift
2018,51133,1,Diesel,UP-32,Manual,Sedan,630000,Maruti,Dzire
2019,47944,1,Petrol,DL-7C,Manual,SUV,762000,Renault,Duster
2017,33493,1,Petrol,KA-01,Automatic,SUV,777000,Ford,Ecosport
2017,21083,1,Petrol,GJ-01,Manual,Hatchback,544000,Maruti,Swift
2020,44616,1,Diesel,BR-01,Manual,SUV,1740000,Tata,Harrier
2019,53219,1,Petrol,GJ-01,Manual,Hatchback,628000,Maruti,Baleno
2010,60180,2,Petrol,HR-20,Manual,Hatchback,177000,Maruti,Alto K10
2022,5758,1,Diesel,GJ-01,Automatic,SUV,1431000,Kia,Sonet
2017,89581,1,Petrol,TS-05,Manual,Hatchback,646000,Maruti,Baleno
2017,115401,1,Petrol,Unknown,Manual,Hatchback,213000,Datsun,Redi Go
2018,52698,1,Petrol,DL-8C,Manual,Sedan,361000,Maruti,Ciaz
2019,47262,1,Petrol,PB-70,Manual,Hatchback,605000,Maruti,Swift
2017,16634,2,Petrol,KA-51,Manual,Hatchback,533000,Hyundai,Grand I10
2017,110311,1,Petrol,Unknown,Manual,Sedan,441000,Tata,Tigor
2014,54759,1,Petrol,CH-01,Manual,Sedan,508000,Honda,City
2013,48444,1,Petrol,KA-36,Manual,Hatchback,286000,Maruti,Alto 800
2015,42976,1,Petrol,MH-05,Automatic,Sedan,476000,Maruti,Swift Dzire
2017,52382,1,Petrol,KA-25,Manual,Hatchback,676000,Maruti,Swift
2012,24918,2,Petrol,MH-02,Manual,Hatchback,269000,Hyundai,I10
2018,44315,1,Petrol,TS-08,Manual,Hatchback,467000,Tata,Tiago
2018,48451,1,Diesel,MH-03,Manual,SUV,930000,Maruti,Vitara Brezza
2022,12699,1,Petrol,TN-07,Manual,Hatchback,732000,Maruti,Ignis
2018,24385,1,Petrol,GJ-27,Manual,Sedan,748000,Maruti,Ciaz
2016,71337,1,Petrol,GJ-06,Manual,Hatchback,451000,Hyundai,Grand I10
2016,83219,1,Petrol,MH-02,Manual,Hatchback,270000,Renault,Kwid
2016,43655,1,Petrol,KA-03,Manual,Hatchback,630000,Maruti,Baleno
2014,45165,2,Petrol,PB-02,Manual,Sedan,779000,Honda,City
2022,7125,1,Petrol,MH-04,Manual,SUV,725000,Tata,Punch
2018,32209,1,Petrol,MH-03,Automatic,SUV,1188000,Hyundai,Creta
2019,85969,1,CNG,DL-9C,Manual,Hatchback,496000,Maruti,New Wagon-R
2019,31286,1,Petrol,TS-09,Automatic,Hatchback,690000,Maruti,Swift
2021,30088,1,Petrol,TS-07,Manual,Hatchback,761000,Volkswagen,Polo
2015,61108,1,Petrol,CH-01,Manual,Hatchback,281000,Maruti,Alto K10
2016,93415,1,Diesel,GJ-27,Manual,SUV,608000,Renault,Duster
2017,57971,2,Petrol,UP-14,Manual,Hatchback,260000,Maruti,Alto 800
2014,76697,3,Diesel,TN-02,Manual,Hatchback,520000,Hyundai,Elite I20
2020,11066,1,Petrol,UP-16,Manual,SUV,1090000,Hyundai,Venue
2018,36242,1,Diesel,UP-14,Automatic,SUV,794000,Mahindra,Tuv300
2011,46494,2,Petrol,WB-20,Manual,Hatchback,207000,Hyundai,I20
2020,71019,2,Diesel,TS-08,Manual,Sedan,641000,Maruti,Dzire
2020,14282,1,Petrol,DL-12,Automatic,SUV,691000,Renault,Triber
2019,42739,2,Petrol,TN-09,Manual,Hatchback,515000,Tata,Tiago
2011,16153,1,Petrol,DL-9C,Manual,Sedan,873000,Maruti,Swift Dzire
2022,5787,1,Petrol,GJ-17,Manual,Hatchback,444000,Maruti,S Presso
2012,63585,1,Petrol,HR-26,Manual,Hatchback,222000,Hyundai,I10
2013,61132,1,Petrol,AP-29,Manual,Hatchback,320000,Maruti,Wagon R 1.0
2015,46836,1,Petrol,MP-09,Manual,Sedan,624000,Honda,City
2014,52802,2,Petrol,KA-05,Manual,Hatchback,514000,Maruti,Swift
2019,47613,1,Petrol,KA-03,Manual,Hatchback,767000,Volkswagen,Polo
2015,88880,1,Petrol,MP-04,Manual,Hatchback,429000,Hyundai,Grand I10
2015,66467,1,Petrol,MH-02,Automatic,Lux Sedan,1122000,Toyota,Camry
2021,42075,1,Petrol,DL-7C,Manual,Sedan,619000,Hyundai,Verna
2015,44348,1,Petrol,TS-08,Automatic,Sedan,746000,Maruti,Ciaz
2018,32875,1,Petrol,GJ-06,Manual,Hatchback,579000,Maruti,Swift
2018,49538,1,Diesel,UP-14,Manual,SUV,1056000,Hyundai,Creta
2015,39584,1,Petrol,MH-47,Manual,SUV,807400,Hyundai,Creta
2016,73338,1,Petrol,GJ-05,Manual,Sedan,632000,Honda,City
2015,66362,3,Petrol,HR-26,Automatic,Lux Sedan,860000,Toyota,Corolla Altis
2017,36248,1,Petrol,KA-51,Manual,Hatchback,596000,Maruti,Ignis
2016,56156,1,Diesel,UP-16,Automatic,SUV,548000,Renault,Duster
2016,100583,1,Diesel,HR-26,Manual,SUV,492000,Renault,Duster
2018,42059,2,Petrol,KA-04,Automatic,Hatchback,705000,Maruti,Swift
2018,38575,2,Petrol,KA-01,Automatic,Hatchback,571000,Tata,Tiago
2017,20607,2,Petrol,KA-03,Manual,Hatchback,648000,Maruti,Baleno
2012,56446,2,Petrol,UP-32,Automatic,Sedan,520000,Honda,Civic
2022,17428,1,CNG,DL-7C,Manual,Hatchback,719000,Hyundai,Grand I10 Nios
2022,11365,1,Petrol,TS-13,Automatic,Hatchback,947000,Honda,Jazz
2016,52891,1,Petrol,MH-47,Manual,SUV,733000,Hyundai,Creta
2020,21275,1,Petrol,MH-48,Manual,Sedan,641000,Volkswagen,Vento
2019,44514,1,Petrol,BR-01,Manual,Sedan,479000,Honda,Amaze
