Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2017,121933,1,Petrol,Unknown,Manual,Hatchback,587000,Maruti,Baleno
2020,15049,1,Petrol,MH-05,Manual,SUV,667000,Mahindra,Kuv 100 Nxt
2014,44008,1,Petrol,KA-51,Manual,Hatchback,578000,Hyundai,Elite I20
2012,79865,2,Petrol,DL-12,Manual,Hatchback,239000,Hyundai,I10
2021,13450,1,Petrol,CH-01,Manual,Hatchback,590000,Hyundai,Grand I10 Nios
2020,33659,1,Petrol,PB-65,Manual,Hatchback,573000,Hyundai,Grand I10 Nios
2018,37625,1,Diesel,HR-30,Manual,SUV,500000,Ford,Freestyle
2019,108772,1,Diesel,TN-72,Manual,SUV,771000,Ford,Ecosport
2015,121056,2,Diesel,GJ-01,Manual,SUV,699000,Hyundai,Creta
2019,37478,1,Petrol,RJ-45,Manual,Hatchback,343000,Renault,Kwid
2015,50489,1,Petrol,HR-51,Manual,Hatchback,354000,Honda,Brio
2018,26137,2,Petrol,TN-19,Manual,Hatchback,537000,Maruti,Ignis
2018,77281,1,Petrol,KL-39,Manual,SUV,478000,Ford,Freestyle
2018,4909,2,Petrol,HR-51,Automatic,Hatchback,412000,Datsun,Redi Go
2017,121129,2,Diesel,TS-07,Manual,SUV,833000,Maruti,Vitara Brezza
2021,34348,1,Petrol,UP-32,Manual,Hatchback,565000,Maruti,Baleno
2018,27611,1,Petrol,DL-1C,Automatic,Sedan,768000,Maruti,Dzire
2010,79541,1,Petrol,TN-07,Manual,Sedan,418000,Maruti,Swift Dzire
2021,40429,2,Petrol,KA-16,Automatic,Hatchback,1011000,Hyundai,New I20
2012,123598,2,Petrol,Unknown,Manual,Hatchback,221000,Hyundai,Eon
2021,11389,1,Petrol,KA-04,Manual,Hatchback,523000,Renault,Kwid
2017,29942,2,Petrol,KA-51,Manual,Sedan,770000,Skoda,Rapid
2010,24442,1,Petrol,BR-01,Manual,Hatchback,171000,Hyundai,I10
2018,71848,2,Diesel,MP-09,Manual,SUV,692000,Tata,Nexon
2016,66754,1,Petrol,TS-08,Manual,Hatchback,454000,Maruti,Wagon R 1.0
2019,24337,2,Petrol,TS-08,Manual,Hatchback,542000,Hyundai,Grand I10
2012,68582,1,Petrol,KA-51,Manual,Hatchback,270000,Maruti,Alto 800
2018,45165,2,Petrol,GJ-01,Manual,Sedan,781000,Toyota,Yaris
2018,23501,1,Petrol,DL-9C,Automatic,Sedan,755000,Maruti,Dzire
2020,23325,1,Petrol,TS-08,Automatic,Hatchback,723000,Maruti,Ignis
2017,42900,1,Petrol,MH-04,Automatic,Sedan,889000,Hyundai,Xcent
2016,48247,1,Petrol,TS-09,Automatic,Sedan,744000,Maruti,Ciaz
2019,81362,2,Diesel,TS-09,Manual,Sedan,852000,Volkswagen,Ameo
2018,26772,2,Petrol,MH-12,Manual,Hatchback,621000,Hyundai,Elite I20
2013,47038,1,Petrol,DL-9C,Manual,Hatchback,283000,Maruti,Wagon R 1.0
2020,28971,2,Petrol,TN-22,Automatic,Hatchback,640000,Tata,Tiago
2013,64268,2,Petrol,AP-01,Manual,Hatchback,216000,Maruti,Alto 800
2020,68413,1,Petrol,KA-29,Automatic,SUV,1050000,Hyundai,Venue
2019,68714,1,Petrol,UP-14,Manual,SUV,711000,Honda,Wr-V
2013,57786,3,Diesel,GJ-01,Manual,Sedan,336000,Honda,City
2010,86642,1,Petrol,KA-50,Manual,Hatchback,200000,Maruti,Alto
2019,31184,1,Diesel,DL-3C,Manual,Sedan,879000,Hyundai,Verna
2018,46291,1,Petrol,MH-14,Manual,Hatchback,289000,Datsun,Redi Go
2011,48422,1,Petrol,DL-4C,Manual,Hatchback,227000,Maruti,Swift
2017,52527,1,Diesel,TN-07,Manual,Hatchback,656000,Maruti,Baleno
2020,28989,1,Petrol,MH-40,Automatic,SUV,1183000,Maruti,S Cross
2018,92569,1,Diesel,TS-07,Automatic,Lux SUV,1975000,Volkswagen,Tiguan
2021,2634,1,Petrol,UP-16,Automatic,Hatchback,920000,Renault,Kiger
2017,45933,2,Petrol,GJ-05,Automatic,Hatchback,340000,Renault,Kwid
2010,47865,2,Petrol,MH-02,Manual,Hatchback,216000,Hyundai,I20
2016,54592,2,Petrol,MH-12,Manual,Hatchback,375000,Tata,Bolt
2010,70947,3,Diesel,WB-06,Manual,Lux Sedan,272000,Toyota,Corolla Altis
2022,25981,1,CNG,GJ-03,Manual,Sedan,759000,Tata,Tigor
2021,24378,1,Petrol,HR-82,Manual,Hatchback,759000,Toyota,Glanza
2020,25413,1,Petrol,MH-12,Automatic,Sedan,734000,Honda,Amaze
2018,38226,1,Diesel,UP-14,Manual,SUV,729000,Maruti,Vitara Brezza
2017,76028,1,Petrol,MH-05,Manual,Hatchback,542000,Maruti,Baleno
2014,71275,1,Diesel,MH-02,Manual,Sedan,774000,Toyota,Etios
2021,36371,1,Petrol,KL-64,Manual,SUV,1035000,Renault,Duster
2019,26147,1,Petrol,TN-02,Manual,Sedan,846000,Maruti,Ciaz
2014,59786,1,Petrol,WB-12,Manual,Hatchback,335000,Maruti,Swift
2017,100453,1,Diesel,TN-12,Manual,SUV,867000,Hyundai,Creta
2017,32463,2,Petrol,DL-10,Manual,Sedan,513000,Maruti,Dzire
2014,18501,1,Petrol,MH-03,Manual,Hatchback,343000,Maruti,Wagon R 1.0
2018,87542,1,Diesel,UP-14,Manual,SUV,792000,Hyundai,Creta
2017,31487,1,Petrol,WB-12,Manual,Sedan,341000,Volkswagen,Ameo
2022,8467,1,Petrol,TS-15,Manual,Hatchback,578000,Maruti,S Presso
2017,79464,1,Diesel,MH-12,Manual,Hatchback,640000,Maruti,Swift
2016,54340,2,Diesel,MH-01,Manual,Sedan,736000,Hyundai,Verna
2014,34836,2,Petrol,KA-01,Manual,Hatchback,552800,Hyundai,I20
2016,100263,1,Diesel,UP-16,Manual,Sedan,422000,Skoda,Rapid
2017,33065,1,Petrol,KL-39,Automatic,Sedan,504000,Maruti,Swift Dzire
2018,65959,1,Petrol,CH-01,Manual,Hatchback,396000,Maruti,Celerio
